,title,studio,domestic_gross,foreign_gross,year,original_language,popularity,release_date,vote_average,vote_count,production_budget,total_gross,total_profit,roi_percentage
0,Toy Story 3,BV,415000000.0,652000000.0,2010,en,24.445,2010-06-17,7.7,8340,200000000,1067000000.0,867000000.0,400.0
1,Inception,WB,292600000.0,535700000.0,2010,en,27.92,2010-07-16,8.3,22186,160000000,828300000.0,668300000.0,400.0
2,Shrek Forever After,P/DW,238700000.0,513900000.0,2010,en,15.040999999999999,2010-05-16,6.1,3843,165000000,752600000.0,587600000.0,300.0
3,The Twilight Saga: Eclipse,Sum.,300500000.0,398000000.0,2010,en,20.34,2010-06-23,6.0,4909,68000000,698500000.0,630500000.0,900.0
4,Iron Man 2,Par.,312400000.0,311500000.0,2010,en,28.515,2010-05-07,6.8,12368,170000000,623900000.0,453900000.0,200.0
5,Tangled,BV,200800000.0,391000000.0,2010,en,21.511,2010-11-24,7.5,6407,260000000,591800000.0,331800000.0,100.0
6,Despicable Me,Uni.,251500000.0,291600000.0,2010,en,23.673000000000002,2010-07-09,7.2,10057,69000000,543100000.0,474100000.0,600.0
7,How to Train Your Dragon,P/DW,217600000.0,277300000.0,2010,en,28.734,2010-03-26,7.7,7610,165000000,494900000.0,329900000.0,100.0
8,The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,104400000.0,311300000.0,2010,en,17.382,2010-12-10,6.3,3196,155000000,415700000.0,260700000.0,100.0
9,The Karate Kid,Sony,176600000.0,182500000.0,2010,en,12.255999999999998,2010-06-10,6.3,3140,40000000,359100000.0,319100000.0,700.0
10,Black Swan,FoxS,107000000.0,222400000.0,2010,en,13.745,2010-12-03,7.6,8374,13000000,329400000.0,316400000.0,2400.0
11,Megamind,P/DW,148400000.0,173500000.0,2010,en,22.855,2010-11-04,6.8,3635,130000000,321900000.0,191900000.0,100.0
12,Robin Hood,Uni.,105300000.0,216400000.0,2010,en,15.444,2010-05-14,6.3,2569,210000000,321700000.0,111700000.0,0.0
18,The Last Airbender,Par.,131800000.0,187900000.0,2010,en,16.595,2010-07-01,4.6,2143,150000000,319700000.0,169700000.0,100.0
19,Little Fockers,Uni.,148400000.0,162200000.0,2010,en,12.152999999999999,2010-12-21,5.6,1883,100000000,310600000.0,210600000.0,200.0
20,Resident Evil: Afterlife,SGem,60100000.0,240100000.0,2010,en,0.667,2010-09-10,5.9,2119,57500000,300200000.0,242700000.0,400.0
21,Shutter Island,Par.,128000000.0,166800000.0,2010,en,18.06,2010-02-18,8.1,12625,80000000,294800000.0,214800000.0,200.0
22,Salt,Sony,118300000.0,175200000.0,2010,en,13.025,2010-07-23,6.3,3240,130000000,293500000.0,163500000.0,100.0
24,Sex and the City 2,WB (NL),95300000.0,193000000.0,2010,en,9.986,2010-05-27,5.9,809,95000000,288300000.0,193300000.0,200.0
25,The Tourist,Sony,67600000.0,210700000.0,2010,en,10.307,2010-12-10,6.1,3133,100000000,278300000.0,178300000.0,100.0
26,The Expendables,LGF,103100000.0,171400000.0,2010,en,21.517,2010-08-03,6.1,4647,82000000,274500000.0,192500000.0,200.0
27,Grown Ups,Sony,162000000.0,109400000.0,2010,en,14.290999999999999,2010-06-24,6.1,3171,75000000,271400000.0,196400000.0,200.0
28,True Grit,Par.,171200000.0,81000000.0,2010,en,13.118,2010-12-22,7.2,2816,35000000,252200000.0,217200000.0,600.0
29,Gulliver's Travels,Fox,42800000.0,194600000.0,2010,en,10.767999999999999,2010-12-25,5.1,1282,112000000,237400000.0,125400000.0,100.0
30,The Social Network,Sony,97000000.0,128000000.0,2010,en,15.889000000000001,2010-10-01,7.2,6116,40000000,225000000.0,185000000.0,400.0
31,Valentine's Day,WB (NL),110500000.0,106000000.0,2010,en,11.187000000000001,2010-02-11,5.8,1907,52000000,216500000.0,164500000.0,300.0
32,The Sorcerer's Apprentice,BV,63200000.0,152100000.0,2010,en,14.463,2010-07-13,5.9,2879,160000000,215300000.0,55300000.0,0.0
33,Due Date,WB,100500000.0,111200000.0,2010,en,12.445,2010-11-04,6.3,2973,65000000,211700000.0,146700000.0,200.0
34,Eat Pray Love,Sony,80600000.0,124000000.0,2010,en,9.991,2010-08-12,6.0,1208,60000000,204600000.0,144600000.0,200.0
35,Yogi Bear,WB,100200000.0,101300000.0,2010,en,9.096,2010-12-17,5.3,387,80000000,201500000.0,121500000.0,100.0
36,Red,Sum.,90400000.0,108600000.0,2010,en,0.6,2014-01-01,5.0,1,60000000,199000000.0,139000000.0,200.0
37,Paranormal Activity 2,Par.,84800000.0,92800000.0,2010,en,8.163,2010-10-21,5.7,1342,3000000,177600000.0,174600000.0,5800.0
38,The A-Team,Fox,77200000.0,100000000.0,2010,en,17.097,2010-06-11,6.3,2703,110000000,177200000.0,67200000.0,0.0
39,The Other Guys,Sony,119200000.0,51200000.0,2010,en,13.508,2010-08-06,6.2,2187,100000000,170400000.0,70400000.0,0.0
40,Unstoppable,Fox,81600000.0,86200000.0,2010,en,14.01,2010-11-12,6.4,1913,95000000,167800000.0,72800000.0,0.0
42,The Book of Eli,WB,94800000.0,62300000.0,2010,en,18.985,2010-01-11,6.7,3495,80000000,157100000.0,77100000.0,0.0
43,The Town,WB,92200000.0,61800000.0,2010,en,13.475999999999999,2010-09-17,7.1,2386,37000000,154000000.0,117000000.0,300.0
44,Date Night,Fox,98700000.0,53600000.0,2010,en,12.498,2010-04-08,6.0,1743,55000000,152300000.0,97300000.0,100.0
45,Legend of the Guardians: The Owls of Ga'Hoole,WB,55700000.0,84400000.0,2010,en,10.754000000000001,2010-09-24,6.6,1223,100000000,140100000.0,40100000.0,0.0
46,The Wolfman,Uni.,62000000.0,77800000.0,2010,en,14.03,2010-02-12,5.7,1009,150000000,139800000.0,-10200000.0,-100.0
47,The Bounty Hunter,Sony,67099999.0,69300000.0,2010,en,9.861,2010-03-19,5.7,1627,45000000,136399999.0,91399999.0,200.0
48,The Fighter,Par.,93600000.0,35600000.0,2010,en,10.395,2010-12-17,7.3,2325,11000000,129200000.0,118200000.0,1000.0
49,Predators,Fox,52000000.0,75200000.0,2010,en,16.215999999999998,2010-07-03,6.1,1979,40000000,127200000.0,87200000.0,200.0
50,Dear John,SGem,80000000.0,35000000.0,2010,en,12.048,2010-02-04,6.8,2676,25000000,115000000.0,90000000.0,300.0
51,Cats & Dogs: The Revenge of Kitty Galore,WB,43600000.0,68900000.0,2010,en,10.544,2010-07-30,4.9,273,85000000,112500000.0,27500000.0,0.0
52,Tooth Fairy,Fox,60000000.0,52400000.0,2010,en,12.65,2010-01-22,5.3,1058,48000000,112400000.0,64400000.0,100.0
53,Hereafter,WB,32700000.0,72500000.0,2010,en,7.886,2010-10-22,5.9,848,50000000,105200000.0,55200000.0,100.0
54,The Girl with the Dragon Tattoo,MBox,10100000.0,94300000.0,2010,en,17.823,2011-12-14,7.3,3971,90000000,104400000.0,14400000.0,0.0
