,title_id,title,start_year,genres,category,averagerating,numvotes,primary_name,known_for_titles,number_of_movies
0,tt1210047,Snatched! Curse of the Pink Panties 2,2010,"Comedy,Crime,Mystery",actor,5.9,56,Danilo Mancinelli,"['tt1210047', 'tt1401566', 'tt3597072', 'tt0976035']",4
1,tt1226831,Spark Riders,2010,Sci-Fi,actress,7.2,13,Meggan Anderson,"['tt0112056', 'tt4515698', 'tt0787407', 'tt1226831']",4
2,tt1233328,My Girlfriend's Back,2010,Comedy,actor,2.5,167,Duncan Bravo,"['tt0069658', 'tt2357129', 'tt1046173', 'tt0460649']",4
3,tt1247406,The Mountain Thief,2010,Drama,actor,7.0,17,Joseph Arcenio,['tt1247406'],1
4,tt1247693,Sister Mary,2011,"Comedy,Musical",actor,4.3,87,Ant,"['tt0201290', 'tt1247693', 'tt0112206', 'tt0235137']",4
5,tt1248300,Rollers,2010,Action,actor,5.0,15,Joseph Dixon,"['tt1225901', 'tt4052886', 'tt3147640', 'tt0092325']",4
6,tt1260563,Bridge of Names,2012,Drama,actor,5.2,5,Ezekiel Baskin,"['tt1260563', 'tt5712928']",2
7,tt1277144,References,2010,"Comedy,Romance",actor,6.0,32,Michael Jason Allen,"['tt0764947', 'tt0181151', 'tt0431197', 'tt7846794']",4
8,tt3593760,The Coldest Kiss,2014,"Drama,Romance,Thriller",actor,6.9,18,Michael Jason Allen,"['tt0764947', 'tt0181151', 'tt0431197', 'tt7846794']",4
9,tt4401904,Stealing Sunrise,2015,"Drama,Mystery,Thriller",actor,6.9,15,Michael Jason Allen,"['tt0764947', 'tt0181151', 'tt0431197', 'tt7846794']",4
10,tt4902138,Stealing Sunrise 2: Malibu Trail,2017,"Action,Drama",actor,8.2,13,Michael Jason Allen,"['tt0764947', 'tt0181151', 'tt0431197', 'tt7846794']",4
11,tt1280013,Trail of Blood,2011,"Horror,Thriller",actor,4.3,202,Robert Picardo,"['tt0093260', 'tt0094433', 'tt0117731', 'tt0112178']",4
12,tt3980310,Occupants,2015,"Horror,Sci-Fi,Thriller",actor,5.2,486,Robert Picardo,"['tt0093260', 'tt0094433', 'tt0117731', 'tt0112178']",4
13,tt2862538,Restoration of Paradise,2014,"Biography,Documentary,History",actor,8.6,12,Robert Picardo,"['tt0093260', 'tt0094433', 'tt0117731', 'tt0112178']",4
14,tt1288406,Life at the Resort,2011,Comedy,actor,5.4,56,Marc Singer,"['tt0101412', 'tt0086823', 'tt0083630', 'tt0085106']",4
15,tt1288472,Left for Dead,2010,"Comedy,Horror",actor,5.9,21,Coty Mabe,['tt1288472'],1
16,tt1296373,The FP,2011,Comedy,actor,5.6,1541,Jason Trost,"['tt5428666', 'tt1836212', 'tt1296373', 'tt3466248']",4
17,tt5428666,Beats of Rage,2018,"Action,Comedy",actor,8.3,44,Jason Trost,"['tt5428666', 'tt1836212', 'tt1296373', 'tt3466248']",4
18,tt3466248,How to Save Us,2014,"Drama,Fantasy,Horror",actor,5.3,821,Jason Trost,"['tt5428666', 'tt1836212', 'tt1296373', 'tt3466248']",4
19,tt1297282,The Lady and the Taxi Driver,2011,"Comedy,Drama",actor,4.6,8,Barnaby De La Cruz,"['tt5873724', 'tt3198008', 'tt0452046', 'tt2275895']",4
20,tt1321874,Zombies Unleashed,2010,Horror,actor,2.5,13,Afraizh Rowland Hamilton,"['tt1322972', 'tt1560975', 'tt1758678', 'tt2282873']",4
21,tt1322384,SubHysteria,2010,"Drama,Thriller",actor,6.9,81,Lavrenti Lopes,"['tt1756474', 'tt1322384', 'tt1798701', 'tt2296691']",4
22,tt1741605,Afghan Hound,2010,"Drama,War",actor,8.6,21,Lavrenti Lopes,"['tt1756474', 'tt1322384', 'tt1798701', 'tt2296691']",4
23,tt1327176,Claustrophobia,2011,Thriller,actor,6.2,48,Christopher Curry,"['tt0418689', 'tt0087015', 'tt0164003', 'tt3263904']",4
24,tt1346308,The Rescuers: Heroes of the Holocaust,2011,Documentary,actor,7.0,24,Leo Goldberger,['tt1346308'],1
25,tt1390840,It's All Been Arranged,2010,"Comedy,Drama",actor,7.6,798,Manu Narayan,"['tt2891174', 'tt2245029', 'tt0938283', 'tt0811138']",4
26,tt1404632,F*** Marry Kill,2010,Drama,actor,6.9,65,Rey Valentin,"['tt1439741', 'tt1404632', 'tt1839578', 'tt0995832']",4
27,tt1422800,Beneath the Dark,2010,"Mystery,Thriller",actor,5.1,1767,Josh Stewart,"['tt1345836', 'tt0816692', 'tt0844479', 'tt1748227']",4
28,tt7155576,Back Fork,2019,Drama,actor,6.2,159,Josh Stewart,"['tt1345836', 'tt0816692', 'tt0844479', 'tt1748227']",4
29,tt1425930,Money to Burn,2010,"Action,Comedy",actor,5.8,13,David Carradine,"['tt0378194', 'tt0072856', 'tt0490086', 'tt0074235']",4
30,tt1561479,Eyes in the Dark,2010,"Horror,Sci-Fi,Thriller",actor,4.4,362,Jason Robison,"['tt2241589', 'tt6063312', 'tt1561479', 'tt1669827']",4
31,tt1568807,Catch of a Lifetime,2012,Romance,actor,7.2,6,Matthew Ashford,"['tt5302174', 'tt0114508', 'tt0058796', 'tt1688612']",4
32,tt2418988,Winning Favor,2012,Family,actor,4.7,35,Matthew Ashford,"['tt5302174', 'tt0114508', 'tt0058796', 'tt1688612']",4
